"asc_a","asc_b","b_tt_pt_business","b_tt_pt_commuters","b_tt_pt_leisure","b_tt_pt_shopping","b_tt_car_business","b_tt_car_commuters","b_tt_car_leisure","b_tt_car_shopping","b_dc","b_tc_business","b_tc_commuters","b_tc_leisure","b_tc_shopping","b_ic_business","b_ic_commuters","b_ic_leisure","b_ic_shopping","b_hw_business","b_hw_commuters","b_hw_leisure","b_hw_shopping","b_bus_commuters","b_bus_leisure","b_bus_shopping","b_rail_business","b_rail_commuters","b_rail_leisure","b_rail_shopping","b_car_inertia","b_car_available","b_car_male","b_bus_disc","b_rail_disc","b_bus_ga","b_rail_ga","mu_mc_car_bus","mu_mc_car_rail","mu_rc_bus","mu_rc_car","mu_rc_rail_by_car","mu_rc_rail","logLike"
0,0,-0.1086,-0.1353,-0.0571,-0.1066,-0.11,-0.1491,-0.0764,-0.1462,-0.0572,-0.1314,-0.292,-0.157,-0.3607,-1.0318,-1.4274,-1.1492,-1.2692,-0.0326,-0.0544,-0.035,-0.051,2.9428,-1.098,2.4257,1.4948,1.3332,0.2886,1.2117,1.9076,0.588,-0.3295,1.1958,1.6995,3.6511,1.7218,0.4082,0.5051,0.9878,1.2254,0.7688,1,-8130.36341929325
0,0,-0.1086,-0.1353,-0.0571,-0.1066,-0.11,-0.1491,-0.0764,-0.1462,-0.0572,-0.1314,-0.292,-0.157,-0.3607,-1.0318,-1.4274,-1.1492,-1.2692,-0.0326,-0.0544,-0.035,-0.051,2.9428,-1.098,2.4257,1.4948,1.3332,0.2886,1.2117,1.9076,0.588,-0.3295,1.1958,1.6995,3.6511,1.7218,0.4082,0.5051,0.9878,1.2254,0.7688,1,-8130.36341929325
0,-2.1667780354619e-05,-0.108550308186002,-0.135139253556449,-0.0591743551119231,-0.106613255098835,-0.109898663795087,-0.149126411172468,-0.0749158120612614,-0.146180451465584,-0.0571263958092779,-0.131443426394928,-0.291989345894661,-0.156157573574688,-0.360652747445554,-1.03179637210742,-1.42736778566251,-1.1491823754942,-1.26917803818062,-0.0325804767020978,-0.0546272409708239,-0.0353637983221561,-0.0510764897018671,2.94280161319599,-1.09798956266651,2.42570288580172,1.4947997710716,1.33319562964821,0.288589956689067,1.21169700723262,1.90761721362444,0.5880088270735,-0.329495479351841,1.19580932032475,1.69949138694489,3.65110204646355,1.72180070825731,0.408195020353701,0.504965872240625,0.987731183997542,1.22539836834567,0.768787106583081,1,-8118.66005145482
0,-0.000378468132992341,-0.101735369249259,-0.114512342051181,-0.0425576467150506,-0.107963582168428,-0.0969172025756428,-0.152512301460654,-0.0492385188997275,-0.143868428472291,-0.0617105130409575,-0.137106219562938,-0.290482892912693,-0.089033281972271,-0.354380736044878,-1.03130356988329,-1.42303681529514,-1.14545946338456,-1.26623641719337,-0.029854583969783,-0.084095024004174,-0.00291869003339996,-0.0607917461978811,2.94301811437359,-1.0965285255925,2.42608956142514,1.49477327439769,1.33262471089826,0.289693551993719,1.21131007358363,1.90817640082318,0.587157528089135,-0.330429247865366,1.19709507984801,1.70004354457002,3.65139247057171,1.72203943850605,0.406852513164231,0.490766885798669,0.978416569123061,1.22523487750292,0.767358182220792,1,-8103.14889031471
0,-0.000566087430347855,-0.100383056009778,-0.114701758940728,-0.0377376797250419,-0.106454872945534,-0.0959349310269138,-0.152148011735122,-0.0448535008992182,-0.144607414342047,-0.0613410688330047,-0.137479099833417,-0.289665765786651,-0.0842509845023334,-0.353048109684483,-1.03114754772909,-1.42184332070115,-1.14459312794965,-1.26547901421868,-0.0289283345182721,-0.0872912930476872,-0.00828333363056426,-0.060856163424299,2.94307632067964,-1.09619022428237,2.42619031175526,1.49477757216998,1.33253635830772,0.289736101454466,1.21127320001039,1.90848612239499,0.58707116899121,-0.330577887564711,1.19740584163017,1.70015398989849,3.65146035458395,1.72212257078803,0.406692039835489,0.490507480873258,0.976186062499192,1.22522526728473,0.767102019449752,1,-8099.62779917214
0,-0.000612283842741413,-0.100570539512238,-0.114282787978005,-0.0378665022388746,-0.105371633815765,-0.0947831570268167,-0.152837243742432,-0.0465737952135016,-0.145079083760493,-0.0610645135450088,-0.137186039503627,-0.289047900422936,-0.0818907298591311,-0.351760924793682,-1.03098742219331,-1.42060253421419,-1.1435128692506,-1.26473599792781,-0.0283545266240132,-0.0875626941662308,-0.0101674362567698,-0.06085927708153,2.94313922055808,-1.09585570329255,2.42628960790327,1.49477353535882,1.33251124390569,0.289853241023487,1.21123403534745,1.90876157032847,0.586898322968766,-0.330792134493801,1.19771604032049,1.70035875662237,3.65152733435801,1.72223111672153,0.406532301945106,0.49126987091327,0.97402212513789,1.22523755008761,0.766859170805824,1,-8098.48957241348
0,-0.000751571130326165,-0.0930812442349852,-0.114661755153914,-0.0383510327627964,-0.101951923447961,-0.0947426365763631,-0.156089072698479,-0.0483951034595199,-0.145263349875641,-0.0585077866477442,-0.135666850500597,-0.284110075689505,-0.078729338020097,-0.341464300826241,-1.029636161351,-1.41073749552707,-1.13472832540832,-1.25891066371409,-0.0213199870574451,-0.0881081500610014,-0.0107345074646771,-0.0633705365947368,2.94363995184999,-1.09318332115284,2.42707001798236,1.49482580235944,1.33231725943479,0.290985607847889,1.2108314240533,1.91094089900947,0.585385575795805,-0.332601740223381,1.20018574516276,1.70219023069894,3.65206145174548,1.72315121352039,0.405179378462334,0.499165499100178,0.956925205193294,1.22532026964579,0.765035197516005,1,-8097.76445264284
0,-0.00167407113074723,-0.087259941408805,-0.11888105690888,-0.03588219403307,-0.0882792122235533,-0.0727322451751113,-0.169191972829183,-0.042937757713632,-0.143098593210302,-0.0438943567923362,-0.120857052540053,-0.259034301950835,-0.0748234360917883,-0.288188777639121,-1.02276859136639,-1.35962606844583,-1.08926604998063,-1.22870414844712,0.00457748614673484,-0.0904467041306075,-0.00648813996411887,-0.0761045786151592,2.94623866708756,-1.07928315256781,2.43112211544712,1.49480856320485,1.33128912781062,0.296960054393612,1.20871249574229,1.92244856514966,0.577739745637558,-0.341764046408332,1.21302277398032,1.71157817781269,3.65483959371646,1.72792725387058,0.39816315819726,0.539640295466323,0.868284488417208,1.22578388715628,0.755872211424739,1,-8089.60660177095
0,-0.00196332728289574,-0.0857531666278207,-0.112457642252537,-0.0343613814284799,-0.0855939247600478,-0.0706236842577388,-0.165670782694875,-0.0395408076965176,-0.136457137452337,-0.0535199762507893,-0.109619074226414,-0.251099407473489,-0.072264016468412,-0.26188817890133,-1.01902302759251,-1.33300918491601,-1.06590667414871,-1.21248291883989,0.0091875171700932,-0.087143651804867,-0.00652592483962805,-0.0682210985642974,2.94763328920552,-1.07173336061055,2.43333183828386,1.49469996575975,1.33077826573516,0.300291488148196,1.20782506917963,1.92831177691647,0.573350863152857,-0.346817587520922,1.21998489746901,1.71669455193805,3.65635252659392,1.73055171446747,0.394697892100538,0.554140132800428,0.82156418810245,1.22660622163298,0.752376447853913,1,-8080.58952041013
0,-0.00236952705978888,-0.0843621773635651,-0.11399360919817,-0.0347043479455312,-0.0855376017566931,-0.0693397952476689,-0.156733133404976,-0.0398945602356926,-0.129338601123391,-0.0581746877912979,-0.102313641346036,-0.245163585374047,-0.0691652344202445,-0.243449088890488,-1.01629396763224,-1.31378076712219,-1.04910367511161,-1.20068580889244,0.00990403489091165,-0.0889147197843769,-0.00615515243114756,-0.0629480236144087,2.94864577705973,-1.06616432415577,2.43495681197235,1.49458266016721,1.33026037688747,0.302795715777908,1.2071370589721,1.93268468653763,0.57023439972045,-0.350397084889003,1.22510714159331,1.72034788615573,3.65746913192511,1.73245472537257,0.392248416096072,0.563732007450212,0.787632252324133,1.22721494292207,0.750230351983959,1,-8075.43616802445
