"asc_a","asc_b","b_tt_pt_business","b_tt_pt_commuters","b_tt_pt_leisure","b_tt_pt_shopping","b_tt_car_business","b_tt_car_commuters","b_tt_car_leisure","b_tt_car_shopping","b_dc","b_tc_business","b_tc_commuters","b_tc_leisure","b_tc_shopping","b_ic_business","b_ic_commuters","b_ic_leisure","b_ic_shopping","b_hw_business","b_hw_commuters","b_hw_leisure","b_hw_shopping","b_bus_commuters","b_bus_leisure","b_bus_shopping","b_rail_business","b_rail_commuters","b_rail_leisure","b_rail_shopping","b_car_inertia","b_car_available","b_car_male","b_bus_disc","b_rail_disc","b_bus_ga","b_rail_ga","lam_dist_tt_pt_business","lam_dist_tt_pt_commuters","lam_dist_tt_pt_leisure","lam_dist_tt_pt_shopping","lam_dist_tt_car_business","lam_dist_tt_car_commuters","lam_dist_tt_car_leisure","lam_dist_tt_car_shopping","lam_dist_tc","lam_inc_tc_business","lam_inc_tc_commuters","mu_mc_car_bus","mu_mc_car_rail","mu_rc_bus","mu_rc_car","mu_rc_rail_by_car","mu_rc_rail","logLike"
0,0,-0.1086,-0.1353,-0.0571,-0.1066,-0.11,-0.1491,-0.0764,-0.1462,-0.0572,-0.1314,-0.292,-0.157,-0.3607,-1.0318,-1.4274,-1.1492,-1.2692,-0.0326,-0.0544,-0.035,-0.051,2.9428,-1.098,2.4257,1.4948,1.3332,0.2886,1.2117,1.9076,0.588,-0.3295,1.1958,1.6995,3.6511,1.7218,-0.3135,-0.2368,-0.2837,-0.2009,-0.3573,-0.1321,-0.3744,-0.1905,-0.5949,-0.8922,-0.1697,0.4082,0.5051,0.9878,1.2254,0.7688,1,-7962.42106696029
0,0,-0.1086,-0.1353,-0.0571,-0.1066,-0.11,-0.1491,-0.0764,-0.1462,-0.0572,-0.1314,-0.292,-0.157,-0.3607,-1.0318,-1.4274,-1.1492,-1.2692,-0.0326,-0.0544,-0.035,-0.051,2.9428,-1.098,2.4257,1.4948,1.3332,0.2886,1.2117,1.9076,0.588,-0.3295,1.1958,1.6995,3.6511,1.7218,-0.3135,-0.2368,-0.2837,-0.2009,-0.3573,-0.1321,-0.3744,-0.1905,-0.5949,-0.8922,-0.1697,0.4082,0.5051,0.9878,1.2254,0.7688,1,-7962.42106696029
0,-5.6747579947114e-06,-0.106068628173228,-0.136655753759854,-0.0515159770430997,-0.109429027343541,-0.11186715784017,-0.149308926727064,-0.0804199985937215,-0.146297176870331,-0.0578716747232713,-0.132430864892527,-0.289062591761351,-0.158907686695922,-0.356984075251315,-1.03173736418895,-1.4273329565512,-1.14900824517785,-1.26926304722745,-0.0313171720294282,-0.055503004894685,-0.0331471601198427,-0.0517745128567331,2.94280978636788,-1.09798349806061,2.4256962453451,1.49483271305701,1.33318882954242,0.288671631704923,1.21168913875548,1.90754035566226,0.587914675960317,-0.329561260950752,1.19581824469306,1.69957012292044,3.65110190221705,1.72179384817667,-0.313732023007702,-0.237271981409937,-0.283720799960475,-0.201587648213934,-0.357091102732997,-0.132170005301386,-0.374368803043012,-0.190520315251313,-0.590062334688939,-0.892221321959794,-0.169382635315694,0.407992050062679,0.504642308056261,0.987303161837347,1.22523407829423,0.76843569710264,1,-7935.03187802719
0,-0.000729119352524208,-0.0872360841103625,-0.146152981447962,-0.0604385301238243,-0.133784370143306,-0.12570181547109,-0.1526175323518,-0.0813980383617486,-0.148224516038347,-0.0594895265406094,-0.14154534360193,-0.262651116095969,-0.168529728410705,-0.322629493681213,-1.03117853534847,-1.42662519682672,-1.14763952013631,-1.26978790459671,-0.0212833023661218,-0.0643814694802297,-0.0386560556495869,-0.0579069729586935,2.94291350424416,-1.09785981138749,2.42566627730521,1.49508010332237,1.33312514011216,0.288673877674634,1.21162225821083,1.90740897246262,0.587640619990476,-0.329733704301115,1.19597804318996,1.69976329610487,3.65111505173558,1.72169707292278,-0.315327102948492,-0.2411596636874,-0.282209489504981,-0.207850246341062,-0.355543723001656,-0.132966814721773,-0.375466486647605,-0.190806083257287,-0.546919521552522,-0.892433067270414,-0.166541325224653,0.406046918148368,0.500720679286374,0.982798358185816,1.2236867633688,0.765022568976537,1,-7873.16971794949
0,-0.00102171918574501,-0.097796757361695,-0.135528646620395,-0.0623080344202623,-0.138661057599796,-0.11882639006612,-0.162069158253677,-0.0843321552601274,-0.155339400528672,-0.0589496953029853,-0.146126023554774,-0.249289508333071,-0.17701965318841,-0.300388479182211,-1.03089411309905,-1.42570262168164,-1.14644318023826,-1.26982155489108,-0.0234485178785406,-0.0632111042304518,-0.0412035160382503,-0.0561680544702046,2.94305837667074,-1.09774289879931,2.42568298483434,1.49498183919296,1.33329379377993,0.288721979345436,1.21176693459427,1.90719537992872,0.5872735524322,-0.329956005701367,1.1961685135191,1.69999033056056,3.6511305428363,1.72167538860733,-0.314227288666893,-0.24046925108204,-0.280306337401783,-0.210281808543048,-0.356470708227759,-0.134407668528313,-0.376612156753321,-0.191732581221968,-0.524342892005711,-0.892654811633609,-0.165139774060347,0.404922780175737,0.495859059235162,0.979872180317779,1.22265753270788,0.762762492114547,1,-7820.58293024765
0,-0.00126316713691738,-0.099117210431446,-0.134775178970086,-0.0635052230793797,-0.128793499776806,-0.118447112072293,-0.159338824872964,-0.0859582989228117,-0.162913172269081,-0.0584173704688476,-0.15011323264895,-0.243429044600486,-0.182245498574419,-0.290705642228103,-1.03058796127348,-1.42485782447723,-1.14548274320506,-1.26950360027229,-0.0225362018348993,-0.0687889769789484,-0.0424841162541968,-0.0515721257166506,2.94316824894289,-1.09763705436616,2.42573771498745,1.49498266488625,1.33320713403795,0.2887571596528,1.21197256352058,1.90704211184694,0.58698788389577,-0.330107351732578,1.1963519113321,1.70014287750214,3.65114688582995,1.72166449309595,-0.313625123105843,-0.238309002094668,-0.277750046931771,-0.208306202762922,-0.356502460571874,-0.135689503016004,-0.377948895820277,-0.193039098991878,-0.519090187196406,-0.892832677450953,-0.164829488869275,0.40447935493838,0.493239693635663,0.978094901960146,1.22220872516647,0.76149818901847,1,-7804.26003673627
0,-0.00159088559240196,-0.0975568191387469,-0.128895333658317,-0.0643990353795387,-0.12483387696504,-0.120375668247792,-0.157907486391594,-0.0871886589566011,-0.162687113897854,-0.0580048137072463,-0.153972106308392,-0.242296126606109,-0.185559370493912,-0.284358077825104,-1.03025159188638,-1.42379530732404,-1.14457299875255,-1.26921342424595,-0.0206645099615179,-0.0699575890562164,-0.0431081196778743,-0.0541484407200073,2.94329169740367,-1.09753113307556,2.42577258856754,1.49501589871834,1.33320765386893,0.28879274534927,1.21195860082568,1.90703200347639,0.586788831334566,-0.330238930758599,1.19652724229672,1.70025029197201,3.65116177456014,1.72164944929649,-0.313136033652959,-0.234676661916347,-0.274859723419335,-0.206494365264113,-0.356212971131648,-0.137254041346913,-0.379380990151971,-0.19353547234068,-0.520217264426821,-0.893008355053906,-0.165022135321628,0.404078649303837,0.492289595395203,0.97663388742243,1.22200292925888,0.760548115929925,1,-7797.56496067908
0,-0.002548202387113,-0.101081529038109,-0.125958706435582,-0.0656081653033564,-0.120905960423831,-0.119875509781342,-0.151184112006781,-0.0892098898716256,-0.158115599498108,-0.0563793667794499,-0.160859879780048,-0.239229322047931,-0.190811183845783,-0.27252512719882,-1.02960128294079,-1.42149532018722,-1.14275465037772,-1.26860606448197,-0.0196861780540331,-0.0741561167620489,-0.0441843170234372,-0.0620986147114713,2.94351976243023,-1.09731957307231,2.42583192823355,1.49500550961666,1.33313163442215,0.288865869831577,1.21183294008486,1.90720506527818,0.586608513176578,-0.330321597719233,1.19686490779169,1.70032445648011,3.65119033276484,1.7215917488991,-0.311475676541959,-0.228528142403395,-0.269151232221452,-0.203188316675481,-0.356137280451147,-0.140136712000006,-0.382171211809216,-0.194150439929921,-0.523866666939978,-0.893386340850453,-0.165420569218137,0.403205981554638,0.490972229344568,0.973787063541392,1.22168495035985,0.758678711939501,1,-7787.79094172363
0,-0.0042597688266185,-0.105825812718928,-0.133111950365544,-0.0647692496058899,-0.109324947422302,-0.123288433059158,-0.150360994114955,-0.0890440618965957,-0.145219909721669,-0.0617095482625599,-0.176525923648455,-0.228328179850803,-0.190703939690833,-0.25010267144497,-1.02785792507033,-1.41406737904021,-1.13865289093129,-1.26623954906744,-0.0176285714936766,-0.059881990330873,-0.046382904153243,-0.0651208651703148,2.94400179776369,-1.09687787561577,2.4259902609149,1.49500917702211,1.33350598462552,0.289047406864255,1.21180195151929,1.90724987107503,0.585702555087835,-0.331052526121143,1.19764085533998,1.7008797741946,3.65124549352948,1.72167395972066,-0.307174949266805,-0.22207338689417,-0.259578658113334,-0.194939010876048,-0.35523297288567,-0.145490423044024,-0.386502757888422,-0.196106159198769,-0.533985707570002,-0.894377021333283,-0.165874923490812,0.400182929402214,0.487139137636032,0.967192455495075,1.22168354123118,0.75419252644439,1,-7777.20997448833
0,-0.00577885946304774,-0.109042402671757,-0.132489796269124,-0.0649714405080339,-0.107975014222564,-0.127552837553251,-0.151822740586204,-0.0881352108645722,-0.133837151047663,-0.0598341021421725,-0.187391646647962,-0.22551735207628,-0.184116191407547,-0.234124856147151,-1.02636024108861,-1.40737018266167,-1.13531364793045,-1.26344178460843,-0.0185571037160304,-0.0623031462776001,-0.041382977889806,-0.0556221048247228,2.9443425902368,-1.096599226682,2.42611781711935,1.49498091001115,1.33364921845024,0.289321588161175,1.21194815941853,1.90742548468744,0.585038551518278,-0.331670734357748,1.19821385878296,1.70141821703706,3.65127369135439,1.72186234851726,-0.302915453548669,-0.222254724668052,-0.258071859506251,-0.191099216305221,-0.354305569776633,-0.146222164074436,-0.386589751265612,-0.197382950293142,-0.542047583544529,-0.89526019685698,-0.166774302293786,0.396659080725599,0.488854014632913,0.961837755333146,1.22194561256985,0.750904309563414,1,-7771.71691564953
