"asc_a","asc_b","b_tt_pt_business","b_tt_pt_commuters","b_tt_pt_leisure","b_tt_pt_shopping","b_tt_car_business","b_tt_car_commuters","b_tt_car_leisure","b_tt_car_shopping","b_dc","b_tc_business","b_tc_commuters","b_tc_leisure","b_tc_shopping","b_ic_business","b_ic_commuters","b_ic_leisure","b_ic_shopping","b_hw_business","b_hw_commuters","b_hw_leisure","b_hw_shopping","b_bus_commuters","b_bus_leisure","b_bus_shopping","b_rail_business","b_rail_commuters","b_rail_leisure","b_rail_shopping","b_car_inertia","b_car_available","b_car_male","b_bus_disc","b_rail_disc","b_bus_ga","b_rail_ga","lam_dist_tt_pt_business","lam_dist_tt_pt_commuters","lam_dist_tt_pt_leisure","lam_dist_tt_pt_shopping","lam_dist_tt_car_business","lam_dist_tt_car_commuters","lam_dist_tt_car_leisure","lam_dist_tt_car_shopping","lam_dist_tc","lam_inc_tc_business","lam_inc_tc_commuters","mu_mc_car_bus","mu_mc_car_rail","mu_rc_bus","mu_rc_car","mu_rc_rail_by_car","mu_rc_rail","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-11000.2457554863
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-11000.2457554863
0,-1.85344000160694e-05,8.69934944063426e-05,-0.000174436552710831,0.000268402728997171,-9.82191906869412e-05,-0.000391983195990324,2.93018888682127e-06,-0.000695027839392424,4.33701368793845e-05,-2.90918399766088e-05,-0.000331583060510457,-0.000100245720334351,-0.000770577210187912,-2.24982576072216e-05,3.48159968852997e-07,-7.20895998179913e-06,-4.58751998841763e-06,-5.89823998510838e-06,3.48159968852997e-07,-7.20895998179913e-06,-4.58751998841763e-06,-5.89823998510838e-06,4.71039973199368e-07,5.73440007865429e-07,6.963200122118e-07,2.86720022559166e-07,-7.6799999922514e-06,-5.16095999628306e-06,-6.59455999732018e-06,2.72793599590659e-05,1.92716799676418e-05,1.03219199925661e-05,1.10592000186443e-06,-6.75840005278588e-07,3.68640013039112e-07,2.66240000724793e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-10966.0396105491
0,-0.0002024991693125,-0.000563460764808772,-0.00170935704046802,-0.00335494703962415,-0.00100476135741607,-0.00271364955401728,-3.15266236279086e-05,-0.00237130068516356,0.000440617223713282,-0.000172863260175631,-0.00253102387906185,-0.00104155398322921,-0.00609747734990807,-0.000232526371210205,1.96056503759844e-06,-7.41476871598883e-05,-5.72817257449084e-05,-6.08117001278319e-05,1.96056503759844e-06,-7.41476871598883e-05,-5.72817257449084e-05,-6.08117001278319e-05,4.86197135108208e-06,5.91885537395386e-06,7.18719277332099e-06,1.32640238999147e-06,-7.90096587066774e-05,-6.32005809300584e-05,-6.79988929011529e-05,0.000286926131204551,0.00020730478010833,0.000113560839046254,1.14149652195619e-05,-1.44313772463812e-05,3.80498331111892e-06,2.62591832594358e-05,0.999999854703953,0.999999953330909,0.999998923274733,0.999999982864166,1.00000028127632,0.999999998293969,0.999999498397751,0.999999995312568,1.00000202978253,1.00000002840138,1.00000000713471,1.00000000004626,1.00000047207635,1.00000000000774,1.00000012324943,0.999999782778199,1,-10783.0666903202
0,-0.00049592270234916,-0.00598577327359948,-0.00331274148355942,-0.00647517608940275,-0.00234749585737805,-0.00248226699059439,-0.000670780840354164,-0.00517263221054718,0.000989238005241187,-0.000362562115197936,-0.00393062426928813,-0.0026273443577392,-0.0128423643756869,-0.000574571465483703,-2.68251788980955e-06,-0.000178889451859689,-0.000136079150449195,-0.000148318536003337,-2.68251788980956e-06,-0.000178889451859689,-0.000136079150449195,-0.000148318536003337,1.1932130462007e-05,1.45252550947774e-05,1.7637145495258e-05,-4.23868856629013e-06,-0.000190821582576345,-0.000150604405348353,-0.000165955681498595,0.000694972943106371,0.000505759961392127,0.000277927406882512,2.80127628380666e-05,-4.05804099647319e-05,9.33720682764074e-06,6.24434807176902e-05,1.00000334150686,0.999997554227199,0.999973708424502,0.999999658336752,0.999992552046161,1.00000004253579,1.0000125314897,0.999999899312726,1.00002308504171,0.999998859524504,1.0000001334474,0.999999997808846,1.00001416513862,1.00000000012615,1.00000075576296,1.00000009682019,1,-10688.6650229225
0,-0.00101170144952395,-0.00870644813263514,-0.0021645904941558,-0.00609226438702729,-0.00407443918326042,-0.0055906210695468,-0.00467288544973511,-0.00415199199616991,0.00137333262520812,-0.000917531643662663,-0.0048347291182482,-0.00593107041316206,-0.0138613327197649,-0.00126582208223766,1.47053737654779e-06,-0.000364710679148203,-0.000271851829773469,-0.000310837250156036,1.47053737654779e-06,-0.000364710679148203,-0.000271851829773469,-0.000310837250156036,2.56372446666516e-05,3.12030572467352e-05,3.78810858095193e-05,-1.87137296479541e-06,-0.000390347923431636,-0.00030305488730626,-0.000348718335965555,0.00140779127291696,0.00102583608253956,0.00055085422184121,6.01735776399593e-05,-9.24448806364665e-05,2.00533765534242e-05,0.000126970634601403,0.999897107808261,0.999974867517864,0.999830204473881,0.999996058086236,1.00001960434119,1.00000335705584,1.00007647280353,0.999998809210906,1.00014911985997,1.00000306846786,1.00000129740686,0.999999971071896,1.00007320457805,1.0000000012163,1.00000389448014,1.00000775478929,1,-10645.3744632382
0,-0.00203097961802189,-0.0126854845120218,-0.00683389104344751,-0.00468065259410977,-0.00682711049496795,-0.0103953531311409,-0.00731051659818016,-0.00235301091814183,0.00165597038563496,-0.00191709328086969,-0.0051095053577694,-0.0109259618773329,-0.013225713674295,-0.00263172378463565,1.07976655237239e-05,-0.000753033348903429,-0.000530316999522328,-0.000622265804797614,1.07976655237239e-05,-0.000753033348903429,-0.000530316999522328,-0.000622265804797614,5.24069247416613e-05,6.37714468287061e-05,7.74088704197469e-05,3.96937541419086e-06,-0.000805440271897617,-0.000594088446641596,-0.00069967467432192,0.0027911983816851,0.00204335113583751,0.00109442936955971,0.000122976221050666,-0.000204094636585192,4.09765130030249e-05,0.000242723327338943,0.999630884823911,0.999955479885179,0.999534047221089,0.999984969108148,1.00013029379419,0.999999391097285,1.0002126286363,0.999995801300569,1.00039159210801,1.0000104938961,1.00000252407788,0.999999902622584,1.00020059930902,1.00000000440079,1.00000995749275,1.0000241108228,1,-10579.0076115871
0,-0.00288011607105762,-0.0135726692629599,-0.00909064731446427,-0.00574281516658575,-0.00792289868383654,-0.0115352072981055,-0.00986917517906411,-0.0044385509266914,0.000977664754382909,-0.00284048790536269,-0.0052058918100179,-0.0140190660729351,-0.0111068516894207,-0.00382800415058112,1.64906595014783e-05,-0.00108052816896088,-0.000745205035772801,-0.000875226074288316,1.64906595014783e-05,-0.00108052816896088,-0.000745205035772801,-0.000875226074288316,7.54883023333725e-05,9.18225600235914e-05,0.000111437152381627,6.66256093292041e-06,-0.00115601646836553,-0.000837027595232447,-0.000986663225794847,0.00394238235155284,0.00289251824167695,0.00154827366788211,0.000177065222956405,-0.000292395285508866,5.89848917700866e-05,0.000336103141368486,0.999242315499145,0.999924580528937,0.999322075927449,0.99996239948856,1.00036238191905,1.00002688467067,1.00031906217427,0.999991438441883,1.00058708677642,1.0000188289806,1.00000280559637,0.999999779398477,1.00035895745571,1.00000001051666,1.00000911550702,1.00003687092111,1,-10550.205556
0,-0.00721763715633977,-0.00998879608912004,-0.0179305232679198,-0.0056666552957694,-0.00934293901970085,-0.00663083301372356,-0.0205514254301634,-0.00404981560809287,-0.00543240512296909,-0.00689168356189309,-0.00613762979068322,-0.0247073236929561,-0.0119072949706917,-0.0100168482252338,3.41641613378648e-05,-0.0027531441702489,-0.00188323642639278,-0.00212481124257227,3.41641613378648e-05,-0.0027531441702489,-0.00188323642639278,-0.00212481124257227,0.000194947525813,0.000236810482589392,0.000287226875446907,8.84760372982829e-06,-0.00294809168725079,-0.00212004690085646,-0.00241203811906315,0.00978983870062069,0.00723752017216169,0.00388333915846439,0.00045662946653484,-0.000733888820381072,0.000151995861983857,0.000792053508692033,0.996733465324952,0.99970025055483,0.998095321148141,0.999790931526901,1.0019933983335,1.00028859750667,1.00091688588059,0.99997222901448,1.00167852170229,1.00006727330864,0.999997391997571,0.999998797283484,1.00140346225803,1.00000006062257,1.00002087698324,1.00009771158997,1,-10471.4141174906
0,-0.00845287301789735,-0.00891688184153648,-0.0192209785979468,-0.00586326453495241,-0.0102325727534693,-0.00633667679890909,-0.0224718288659931,-0.00420002050409955,-0.00658456134424013,-0.00786122002632171,-0.00357188947207662,-0.0263404524112448,-0.012734097009152,-0.0116909063178482,4.48876919549841e-05,-0.00323150723478792,-0.00221373547668418,-0.00248843555004688,4.4887691954984e-05,-0.00323150723478792,-0.00221373547668418,-0.00248843555004688,0.000230290333247097,0.000279560662077705,0.000338962629627581,1.50198877224578e-05,-0.00346179755583221,-0.00249329612965437,-0.00282739818338766,0.011465967231117,0.0084852251350843,0.00455367967817621,0.000539036144521902,-0.000856749336484208,0.000179353222192183,0.000914133823435146,0.996068332050627,0.999604693401363,0.997744188071282,0.999734333985649,1.00243718125812,1.00039629485032,1.00108960668725,0.999979644026858,1.00194806146919,1.00007212054973,0.999990848359576,0.999998156629307,1.00177776260248,1.00000008215769,1.00003512343534,1.00012032365675,1,-10457.0668252342
