"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_a",0,NA,NA,NA,NA
"asc_b",0.0241750938837081,0.0708014988317367,0.341448899848313,0.158839693780343,0.152198064025101
"b_car_inertia",0.116237206270465,0.343698076764104,0.338195684319305,0.773636564612726,0.15024781866231
"b_bus_disc",0.00125840088607832,0.00711213467112182,0.176937156601933,0.0111101329574874,0.113266050990888
"b_rail_disc",0.0489565621818087,0.145640420920823,0.336146805071539,0.328550666787557,0.149007648228163
"mu_mc_car_bus",30.8403390496748,89.6551525034288,0.343988473484503,199.951939674818,0.154238759072958
"mu_mc_car_rail",21.5463432746159,63.8109831758895,0.337658851223546,143.693998013414,0.149946021215197
"mu_rc_bus",-0.509338308228548,2.75120117904496,-0.18513306555261,3.96825565208673,-0.128353199210013
"mu_rc_car",-2.80231754707493,8.36093050966501,-0.335168142330035,18.5509980728688,-0.151060203664911
"mu_rc_rail_by_car",-1.70609194858811,5.26314298168502,-0.324158388728003,11.2037484916714,-0.152278672611794
"mu_rc_rail",1,NA,NA,NA,NA
